requirement	clause	pages	source_rows	equations	tests	proofs	status	notes
FAA:row:04	4.10.7	39	4	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:05	4.10.7	39	5	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:06	4.10.7	39	6	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:07	4.10.7	39	7	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:08	4.10.7	39	8	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:09	4.10.7	39	9	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:10	4.10.7	39	10	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:11	4.10.7	39	11	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:12	4.10.7	39	12	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:13	4.10.7	39	13	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:14	4.10.7	39	14	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:15	4.10.7	39	15	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:16	4.10.7	39	16	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:17	4.10.7	39	17	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:18	4.10.7	39	18	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:19	4.10.7	39	19	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:20	4.10.7	39	20	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:21	4.10.7	39	21	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:22	4.10.7	39	22	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:23	4.10.7	39	23	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:24	4.10.7	39	24	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:01	4.10.15	47	1	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-1	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:02	4.10.15	47	2	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-2	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:03	4.10.15	47	3	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-3	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:04	4.10.15	47	4	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-4	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:05	4.10.15	47	5	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-5	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:06	4.10.15	47	6	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-6	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:07	4.10.15	47	7	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-7	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:08	4.10.15	47	8	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-8	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:09	4.10.15	47	9	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-9	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:10	4.10.15	47	10	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-10	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:11	4.10.15	47	11	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-11	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:12	4.10.15	47	12	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-12	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:13	4.10.15	47	13	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-13	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:14	4.10.15	47	14	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-14	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:15	4.10.15	47	15	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-15	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:16	4.10.15	47	16	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-16	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2:row:17	4.10.15	47	17	p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic:arctan2-radians-row-17	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:01	4.10.16	48	1	p3109-omega-elementary-159	symbolic:arctan2-row-1	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:02	4.10.16	48	2	p3109-omega-elementary-159	symbolic:arctan2-row-2	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:03	4.10.16	48	3	p3109-omega-elementary-159	symbolic:arctan2-row-3	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:04	4.10.16	48	4	p3109-omega-elementary-159	symbolic:arctan2-row-4	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:05	4.10.16	48	5	p3109-omega-elementary-159	symbolic:arctan2-row-5	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:06	4.10.16	48	6	p3109-omega-elementary-159	symbolic:arctan2-row-6	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:07	4.10.16	48	7	p3109-omega-elementary-159	symbolic:arctan2-row-7	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:08	4.10.16	48	8	p3109-omega-elementary-159	symbolic:arctan2-row-8	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:09	4.10.16	48	9	p3109-omega-elementary-159	symbolic:arctan2-row-9	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:10	4.10.16	48	10	p3109-omega-elementary-159	symbolic:arctan2-row-10	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:11	4.10.16	48	11	p3109-omega-elementary-159	symbolic:arctan2-row-11	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:12	4.10.16	48	12	p3109-omega-elementary-159	symbolic:arctan2-row-12	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:13	4.10.16	48	13	p3109-omega-elementary-159	symbolic:arctan2-row-13	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:14	4.10.16	48	14	p3109-omega-elementary-159	symbolic:arctan2-row-14	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:15	4.10.16	48	15	p3109-omega-elementary-159	symbolic:arctan2-row-15	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:16	4.10.16	48	16	p3109-omega-elementary-159	symbolic:arctan2-row-16	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
ArcTan2Pi:row:17	4.10.16	48	17	p3109-omega-elementary-159	symbolic:arctan2-row-17	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
saturation:row:01	4.7.5	29	1	p3109-saturation-008	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:02	4.7.5	29	2	p3109-saturation-009	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:03	4.7.5	29	3	p3109-saturation-011	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:04	4.7.5	29	4	p3109-saturation-010	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:05	4.7.5	29	5	p3109-saturation-010	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:06	4.7.5	29	6	p3109-saturation-011	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:07	4.7.5	29	7	p3109-saturation-012	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:08	4.7.5	29	8	p3109-saturation-012	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:09	4.7.5	29	9	p3109-saturation-013	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:10	4.7.5	29	10	p3109-saturation-013	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:11	4.7.5	29	11	p3109-saturation-014	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:12	4.7.5	29	12	p3109-saturation-015	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:13	4.7.5	29	13	p3109-saturation-016	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:14	4.7.5	29	14	p3109-saturation-017	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:15	4.7.5	29	15	p3109-saturation-018	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:16	4.7.5	29	16	p3109-saturation-019	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:17	4.7.5	29	17	p3109-saturation-019	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:18	4.7.5	29	18	p3109-saturation-020	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:19	4.7.5	29	19	p3109-saturation-020	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:20	4.7.5	29	20	p3109-saturation-021	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
saturation:row:21	4.7.5	29	21	p3109-saturation-018,p3109-saturation-019,p3109-saturation-020,p3109-saturation-021	projection	see proofs/obligations.tsv	modeled	Finite/infinite and clipping guards partition the source priority cases.
formats	3.1-3.2	16-17	formula / NOTE / requirement		domains;codec	see proofs/obligations.tsv	executable	K>2, signed P<K and unsigned P<=K.
codec-bijection	4.7.2;4.7.6	25;30	formula / NOTE / requirement		codec	see proofs/obligations.tsv	finite evidence	14 four-bit tables and required 8-bit formats; general algebraic proof pending.
projection	4.7.3-4.7.5	26-29	formula / NOTE / requirement		projection	see proofs/obligations.tsv	finite evidence	Nine modes and three saturation modes.
table3	B.1	75	formula / NOTE / requirement		codec	see proofs/obligations.tsv	finite evidence	Special-code patterns.
tables4-7	B.1	76-77	formula / NOTE / requirement		codec	see proofs/obligations.tsv	finite evidence	224 entries, subnormal flags, approximate display tolerances.
random-sequences	5.3	61	formula / NOTE / requirement		domains;blocks	see proofs/obligations.tsv	finite evidence	Explicit random operands; no random generator.
note-5.4.2-2	5.4.2 NOTE 2	63	formula / NOTE / requirement		blocks:infinite-scale-note-5.4.2	see proofs/obligations.tsv	passes	Nonzero, non-NaN elements normalize to signed unit values.
note-5.5.3-2	5.5.3 NOTE 2	66	formula / NOTE / requirement		blocks:source-note-5.5.3-counterexample	see proofs/obligations.tsv	counterexample	Scale 224; element +Inf under element SatNone.
annex-D1	D.1	79	formula / NOTE / requirement		conformance:D1-positive-subnormal-count;D1-worst-step	see proofs/obligations.tsv	analytical count	Seven positive subnormals; worst rank distance four. External log-cut-point interpretation pending.
annex-D2	D.2	79	formula / NOTE / requirement		conformance:D2-trivial-bound;D2-input-subset-size	see proofs/obligations.tsv	declaration fixture	No candidate executed; no claim of exhaustive 442050625-tuple verification.
real-contract	3.1;4.10	16;40-48	formula / NOTE / requirement		symbolic	see proofs/obligations.tsv	pending	No complete real decision procedure or backend view.
external-contract	4.8	31	formula / NOTE / requirement		load-contracts	see proofs/obligations.tsv	pending	No finite external encoder/decoder implemented.
declarations	4.4-4.6	21-24	formula / NOTE / requirement		conformance	see proofs/obligations.tsv	finite evidence	All seven nonempty FX subsets; evidence labels are claims supplied by adapters.
enclosure-negative	4.7.3	26	formula / NOTE / requirement		symbolic:enclosure-equal-endpoints-negative	see proofs/obligations.tsv	counterexample	Equal endpoint projections on [-100,100] do not certify the interior.
