source_name	profile	parameters	operands	result	target	source_clause	status	public_export	test_reference
ArcTan2	symbolic	fy,fx,fr,rho	y,x	code	P3109Reference.SpecAPI.ArcTan2	4.10.15	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTan2-NearestTiesToEven
BlockArcTan2	symbolic	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockArcTan2	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcTan2-NearestTiesToEven
ScaledArcTan2	symbolic	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledArcTan2	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTan2-NearestTiesToEven
ArcTan2Pi	symbolic	fy,fx,fr,rho	y,x	code	P3109Reference.SpecAPI.ArcTan2Pi	4.10.16	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTan2Pi-NearestTiesToEven
BlockArcTan2Pi	symbolic	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockArcTan2Pi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcTan2Pi-NearestTiesToEven
ScaledArcTan2Pi	symbolic	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledArcTan2Pi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTan2Pi-NearestTiesToEven
Minimum	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Minimum	4.11.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Minimum-0, 0
BlockMinimum	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMinimum	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Minimum-NearestTiesToEven
ScaledMinimum	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMinimum	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Minimum-NearestTiesToEven
Maximum	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Maximum	4.11.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Maximum-0, 0
BlockMaximum	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMaximum	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Maximum-NearestTiesToEven
ScaledMaximum	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMaximum	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Maximum-NearestTiesToEven
MinimumNumber	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MinimumNumber	4.11.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MinimumNumber-0, 0
BlockMinimumNumber	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMinimumNumber	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MinimumNumber-NearestTiesToEven
ScaledMinimumNumber	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMinimumNumber	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MinimumNumber-NearestTiesToEven
MaximumNumber	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MaximumNumber	4.11.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MaximumNumber-0, 0
BlockMaximumNumber	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMaximumNumber	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MaximumNumber-NearestTiesToEven
ScaledMaximumNumber	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMaximumNumber	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MaximumNumber-NearestTiesToEven
MinimumMagnitude	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MinimumMagnitude	4.11.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MinimumMagnitude-0, 0
BlockMinimumMagnitude	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMinimumMagnitude	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MinimumMagnitude-NearestTiesToEven
ScaledMinimumMagnitude	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMinimumMagnitude	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MinimumMagnitude-NearestTiesToEven
MaximumMagnitude	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MaximumMagnitude	4.11.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MaximumMagnitude-0, 0
BlockMaximumMagnitude	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMaximumMagnitude	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MaximumMagnitude-NearestTiesToEven
ScaledMaximumMagnitude	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMaximumMagnitude	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MaximumMagnitude-NearestTiesToEven
MinimumMagnitudeNumber	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MinimumMagnitudeNumber	4.11.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MinimumMagnitudeNumber-0, 0
BlockMinimumMagnitudeNumber	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMinimumMagnitudeNumber	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MinimumMagnitudeNumber-NearestTiesToEven
ScaledMinimumMagnitudeNumber	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMinimumMagnitudeNumber	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MinimumMagnitudeNumber-NearestTiesToEven
MaximumMagnitudeNumber	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MaximumMagnitudeNumber	4.11.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MaximumMagnitudeNumber-0, 0
BlockMaximumMagnitudeNumber	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMaximumMagnitudeNumber	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MaximumMagnitudeNumber-NearestTiesToEven
ScaledMaximumMagnitudeNumber	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMaximumMagnitudeNumber	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MaximumMagnitudeNumber-NearestTiesToEven
MinimumFinite	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MinimumFinite	4.11.3	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MinimumFinite-0, 0
BlockMinimumFinite	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMinimumFinite	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MinimumFinite-NearestTiesToEven
ScaledMinimumFinite	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMinimumFinite	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MinimumFinite-NearestTiesToEven
MaximumFinite	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.MaximumFinite	4.11.3	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-MaximumFinite-0, 0
BlockMaximumFinite	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMaximumFinite	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-MaximumFinite-NearestTiesToEven
ScaledMaximumFinite	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMaximumFinite	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-MaximumFinite-NearestTiesToEven
Clamp	core	fx,flo,fhi,fr,rho	x,lo,hi	code	P3109Reference.SpecAPI.Clamp	4.11.4	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Clamp-0, 0, 0
BlockClamp	core	B,fs1,f1,fs2,f2,fs3,f3,fs,fr,rho	s1,cs1,s2,cs2,s3,cs3,s	block	P3109Reference.SpecAPI.BlockClamp	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Clamp-NearestTiesToEven
ScaledClamp	core	fs1,f1,fs2,f2,fs3,f3,fr,rho	s1,c1,s2,c2,s3,c3	code	P3109Reference.SpecAPI.ScaledClamp	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Clamp-NearestTiesToEven
CompareLess	core	fx,fy	x,y	bool	P3109Reference.SpecAPI.CompareLess	4.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:comparison-CompareLess-0-0
CompareLessEqual	core	fx,fy	x,y	bool	P3109Reference.SpecAPI.CompareLessEqual	4.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:comparison-CompareLessEqual-0-0
CompareEqual	core	fx,fy	x,y	bool	P3109Reference.SpecAPI.CompareEqual	4.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:comparison-CompareEqual-0-0
CompareGreater	core	fx,fy	x,y	bool	P3109Reference.SpecAPI.CompareGreater	4.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:comparison-CompareGreater-0-0
CompareGreaterEqual	core	fx,fy	x,y	bool	P3109Reference.SpecAPI.CompareGreaterEqual	4.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:comparison-CompareGreaterEqual-0-0
TotalOrder	core	fx,fy	x,y	bool	P3109Reference.SpecAPI.TotalOrder	4.12.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	domains:order-domain-Binary(4, 2, Signed, Finite), Binary(4, 2, Signed, Finite), -1, 0
IsZero	core	f	x	bool	P3109Reference.SpecAPI.IsZero	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:predicate-IsZero-0
IsOne	core	f	x	bool	P3109Reference.SpecAPI.IsOne	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:predicate-IsOne-0
IsNaN	core	f	x	bool	P3109Reference.SpecAPI.IsNaN	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:predicate-IsNaN-0
IsInfinite	core	f	x	bool	P3109Reference.SpecAPI.IsInfinite	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:predicate-IsInfinite-0
IsFinite	core	f	x	bool	P3109Reference.SpecAPI.IsFinite	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:predicate-IsFinite-0
IsSignMinus	core	f	x	bool	P3109Reference.SpecAPI.IsSignMinus	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:predicate-IsSignMinus-0
IsNormal	core	f	x	bool	P3109Reference.SpecAPI.IsNormal	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
IsSubnormal	core	f	x	bool	P3109Reference.SpecAPI.IsSubnormal	4.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	smoke:subnormal-Binary(4, 1, Signed, Finite)-0
Class	core	f	x	enum	P3109Reference.SpecAPI.Class	4.13.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	codec:class-Binary(4, 1, Signed, Finite)-0
BitwidthOf	core	f		integer	P3109Reference.SpecAPI.BitwidthOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
PrecisionOf	core	f		integer	P3109Reference.SpecAPI.PrecisionOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
ExponentBitwidthOf	core	f		integer	P3109Reference.SpecAPI.ExponentBitwidthOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
TrailingSignificandBitwidthOf	core	f		integer	P3109Reference.SpecAPI.TrailingSignificandBitwidthOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
ExponentBiasOf	core	f		integer	P3109Reference.SpecAPI.ExponentBiasOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
SignednessOf	core	f		enum	P3109Reference.SpecAPI.SignednessOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
DomainOf	core	f		enum	P3109Reference.SpecAPI.DomainOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
MaxFiniteOf	core	f		code	P3109Reference.SpecAPI.MaxFiniteOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
MinFiniteOf	core	f		code	P3109Reference.SpecAPI.MinFiniteOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
MinPositiveOf	core	f		code	P3109Reference.SpecAPI.MinPositiveOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
MaxSubnormalOf	core	f		code	P3109Reference.SpecAPI.MaxSubnormalOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	conformance:D1-positive-subnormal-count
MinNormalOf	core	f		code	P3109Reference.SpecAPI.MinNormalOf	4.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	test/test_interfaces.jl: Source format query surface; evidence/runs/format-queries.txt
RoundOf	core		rho	enum	P3109Reference.SpecAPI.RoundOf	4.15	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	domains:invalid-round-query
SatOf	core		rho	enum	P3109Reference.SpecAPI.SatOf	4.15	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	domains:invalid-sat-query
NextGreaterThan	core	f	x	code	P3109Reference.SpecAPI.NextGreaterThan	4.16	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	domains:next-domain-NextGreaterThan-Binary(4, 2, Signed, Finite)--1
NextLessThan	core	f	x	code	P3109Reference.SpecAPI.NextLessThan	4.16	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	domains:next-domain-NextLessThan-Binary(4, 2, Signed, Finite)--1
ConvertFromBlock	core	B,fs,fx,fr,rho	s,xs	codes	P3109Reference.SpecAPI.ConvertFromBlock	5.5.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:convert-from
ConvertToBlock	core	B,fx,fs,fr,rho	xs,s	codes	P3109Reference.SpecAPI.ConvertToBlock	5.5.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:convert-to
ConvertToBlockMaxAbsFinite	core	B,fx,fs,fr,rho_s,rho	xs	block	P3109Reference.SpecAPI.ConvertToBlockMaxAbsFinite	5.5.3	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:all-nan-maxabs
BlockReduceAdd	core	B,fs,fx,fr,rho	s,xs	code	P3109Reference.SpecAPI.BlockReduceAdd	5.6.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:sum
BlockReduceMultiply	core	B,fs,fx,fr,rho	s,xs	code	P3109Reference.SpecAPI.BlockReduceMultiply	5.6.1	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:product
BlockDotProduct	core	B,fsx,fx,fsy,fy,fr,rho	sx,xs,sy,ys	code	P3109Reference.SpecAPI.BlockDotProduct	5.6.2	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:dot
